frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
46600,17586,-1,16686,7,16686.0618740024,6.6709784233649
46620,-21824,-14,16686,7,16685.9415705907,6.87334852323633
46640,2784,7,16684,7,16684.2560388403,7.24841712246543
46660,19299,-11,16686,7,16686.1460244178,7.40921617817971
46680,-20890,-18,16686,8,16685.7133037615,7.72739584105635
46700,232,12,16684,8,16684.2351688629,7.96649784350846
46720,20779,8,16686,8,16686.466858885,8.27428952765734
46740,-19758,-9,16686,9,16685.5001881663,8.53388237776336
46760,-2301,2,16684,9,16684.3689794938,8.69136323725312
46780,22003,2,16686,9,16686.3817726053,9.18058838664494
46800,-18373,-5,16685,9,16685.2818849305,9.29711134153372
46820,-4798,-7,16685,10,16684.5932754616,9.57175052971634
46840,22949,12,16687,10,16686.551158418,9.64740948470754
46860,-16787,-4,16685,10,16685.009863571,9.97758718798037
46880,-7218,-5,16685,10,16684.9223497266,10.3544365114066
46900,23619,12,16687,11,16686.6359249387,10.5251860323523
46920,-15003,0,16685,11,16684.8353931551,10.7212210161961
46940,-9534,-1,16685,11,16684.8554854708,11.0419233952072
46960,23985,12,16687,11,16686.5341697473,11.0838864601953
46980,-13041,-9,16685,11,16684.5918529218,11.2385575489584
47000,-11729,-8,16685,12,16685.2091884871,11.5704786660924
47020,24062,14,16687,12,16686.6151160153,11.6229416860578
47040,-10910,-3,16685,12,16684.5436956274,11.8301785700808
47060,-13790,-13,16686,12,16685.5246317231,12.0413411414333
47080,23851,10,16686,12,16686.4450556277,12.286049873103
47100,-8644,4,16685,12,16684.5510118505,12.3386065233275
47120,-15676,-12,16686,12,16685.7489944521,12.3655168051875
47140,23336,10,16686,12,16686.2286616678,12.3971845814634
47160,-6278,6,16685,13,16684.5692641516,12.6422858921211
47180,-17379,-14,16686,13,16686.0429739766,12.9285143916461
47200,22543,18,16686,13,16685.951719812,12.8589573139942
47220,-3800,16,16684,13,16684.4986403878,13.0188977728051
47240,-18891,-25,16686,13,16686.1088273332,12.820976616711
47260,21469,2,16686,13,16685.8106165068,13.046351037383
47280,-1278,8,16684,13,16684.4788178663,13.0183070465931
47300,-20180,-14,16686,13,16686.1868891286,13.0071063059054
47320,20140,1,16685,13,16685.4038430382,12.9492888619897
47340,1288,13,16684,13,16684.3859334651,13.1479245480751
